,id,usuario_id,curp,nombres,apellido_paterno,apellido_materno,fecha_nacimiento,genero,nacionalidad,talla_playera,talla_pantalon,talla_calzado,peso,estatura,banco,nivel_estudios,nivel_estudios_deseado,experiencia_ciencia,experiencia_arte,interes_desarrollo_comunitario,razones_interes,profesion_interes,interes_incorporacion,codigo_postal,estado,colonia,municipio,localidad,calle,numero_exterior,numero_interior,estado_deseado,municipio_deseado,certificado,identificacion,estado_cuenta
10,11,17,REBP4255X18ERVP0,Jorge,Silva,Aguirre,1973-05-20,M,Salvadoreño,M,XXL,28,102.79,2.00,Scotiabank,Primaria,Primaria,Física,Artes Plásticas,True,Razón 2,Profesión 5,Interés 4,62443,Morelos,La Cascada,Pabellón de Arteaga,Jesús María,Reyes,168,72,Oaxaca,Pabellón de Arteaga,/,/,/
11,12,18,QIVX3916W28OMTR0,Luis,Cervantes,Torres,1982-08-03,F,Puertorriqueña,S,S,25,64.91,2.00,Banamex,Secundaria,Secundaria,Otro,Ninguna,True,Razón 5,Profesión 1,Interés 2,90981,Tlaxcala,La Sierra,Jesús María,Aguascalientes,Álvarez,250,48,Mexico,Calvillo,/,/,/
12,13,19,POSX1092R29IRQB5,Erick,Fernández,Castillo,1967-11-07,O,Canadiense,L,XS,30,114.39,2.00,BBVA,Preparatoria,Preparatoria,Biología,Literatura,False,Razón 4,Profesión 5,Interés 5,81382,Sinaloa,San José,Cosío,El Llano,Flores,650,77,Nuevo León,Aguascalientes,/,/,/
13,14,20,DECM5957G86IYXY5,Beatriz,López,Bautista,1974-03-11,F,Puertorriqueño,S,XS,24,47.06,2.00,Banco Azteca,Secundaria,Secundaria,Biología,Música,False,Razón 5,Profesión 3,Interés 1,22793,Baja California,La Paz,Calvillo,Tepezalá,Díaz,192,19,Hidalgo,El Llano,/,/,/
14,15,21,QUCR6620F21ITKQ3,Pedro,Valencia,Martínez,2001-12-18,F,Colombiana,S,S,22,106.80,2.00,Banamex,Preparatoria,Preparatoria,Biología,Literatura,True,Razón 4,Profesión 3,Interés 3,36944,Guanajuato,La Cruz,El Llano,Aguascalientes,Mendoza,611,44,Tabasco,El Llano,/,/,/
15,16,22,SIKB0123Z99ALYK2,Yolanda,Valenzuela,Gallardo,1973-04-14,F,Trinitense,XXL,L,24,96.62,2.00,Inbursa,Secundaria,Secundaria,Física,Ninguna,False,Razón 4,Profesión 2,Interés 4,97658,Yucatán,La Esperanza,Asientos,Asientos,Reyes,841,44,Sinaloa,Jesús María,/,/,/
16,17,23,JAXL8276L16UXQN3,Dulce,Torres,Gallardo,1961-10-18,O,Guatemalteco,XL,S,25,87.30,2.00,Banco del Bajío,Secundaria,Secundaria,Química,Ninguna,False,Razón 3,Profesión 5,Interés 3,73785,Puebla,La Huerta,Calvillo,Jesús María,Ruiz,638,41,Puebla,Asientos,/,/,/
17,18,24,ZOBL6017G57ACSF3,Claudia,Cuevas,Jiménez,2000-09-20,F,Ecuatoriano,XXL,L,32,112.54,2.00,Banorte,Primaria,Primaria,Química,Artes Plásticas,True,Razón 3,Profesión 4,Interés 4,79937,San Luis Potosí,La Huerta,Ensenada,El Llano,Mendoza,85,45,Oaxaca,Rincón de Romos,/,/,/
18,19,25,JURH5275Q04UKTR1,Verónica,Fernández,Hernández,1969-10-10,O,Brasileño,XS,L,33,59.30,2.00,Banco Azteca,Secundaria,Secundaria,Biología,Artes Plásticas,False,Razón 1,Profesión 4,Interés 1,24388,Campeche,La Estrella,Tepezalá,Asientos,Gómez,821,64,Chihuahua,Rincón de Romos,/,/,/
19,20,26,KIVK1045M20IGNS7,Humberto,Cárdenas,Cisneros,1981-06-18,F,Guayanés,M,S,26,74.82,2.00,Scotiabank,Licenciatura,Licenciatura,Química,Música,True,Razón 3,Profesión 3,Interés 3,40500,Guerrero,San Miguel,Jesús María,Tepezalá,Herrera,820,97,CDMX,Cosío,/,/,/
20,21,27,KUSP2192H27ITYY4,Adriana,Santos,Villarreal,2003-07-24,M,Guayanés,XXL,XXL,23,108.57,2.00,BanCoppel,Licenciatura,Licenciatura,Química,Literatura,True,Razón 1,Profesión 5,Interés 2,73268,Puebla,San José,Calvillo,Cosío,Gómez Farías,696,21,Durango,Pabellón de Arteaga,/,/,/
21,22,28,XURN0081M23EBFP1,Rafael,Mata,García,1981-12-13,F,Guatemalteca,L,M,24,89.49,2.00,Inbursa,Primaria,Primaria,Física,Ninguna,True,Razón 1,Profesión 5,Interés 1,38868,Guanajuato,San Juan,Calvillo,Jesús María,Jiménez,193,96,Aguascalientes,Tepezalá,/,/,/
22,23,29,XIGT4195J38UCKJ8,Lorena,Valencia,Ramírez,1961-09-22,O,Paraguaya,XXL,M,22,50.92,2.00,Inbursa,Preparatoria,Preparatoria,Biología,Música,True,Razón 2,Profesión 5,Interés 2,60347,Michoacán,La Palma,Asientos,Asientos,Morales,733,52,Nuevo León,Asientos,/,/,/
23,24,30,KIXC3421M36EHXJ6,Lorena,Gallardo,Fernández,1961-08-12,M,Boliviana,XS,S,34,46.85,2.00,Banamex,Primaria,Primaria,Física,Teatro,True,Razón 2,Profesión 2,Interés 5,71434,Oaxaca,La Huerta,Ensenada,Aguascalientes,Guzmán,991,96,Chihuahua,Asientos,/,/,/
24,25,31,YEKD5377L74OVNS1,Elena,Mendoza,Villanueva,1991-05-07,F,Ecuatoriana,L,M,26,71.39,2.00,Santander,Secundaria,Secundaria,Física,Música,True,Razón 5,Profesión 2,Interés 2,38355,Guanajuato,San Juan,Cosío,Aguascalientes,Mendoza,100,3,Quintana Roo,San José de Gracia,/,/,/
25,26,32,YIKB2842M31OTJZ4,Gabriela,Vega,Flores,1989-11-14,O,Santalucense,M,S,28,109.77,2.00,Santander,Secundaria,Secundaria,Química,Literatura,False,Razón 3,Profesión 2,Interés 4,76400,Querétaro,La Huerta,Tepezalá,San José de Gracia,Cruz,574,48,Durango,Cosío,/,/,/
26,27,33,KAMH7917P15ELJN3,Raúl,Zamora,Salazar,1994-05-13,M,Salvadoreña,XXL,XXL,25,40.43,2.00,Santander,Preparatoria,Preparatoria,Física,Música,True,Razón 1,Profesión 5,Interés 1,24037,Campeche,La Isla,Pabellón de Arteaga,Asientos,Zaragoza,916,58,Mexico,Ensenada,/,/,/
27,28,34,TOZN5041M78EKSN6,Rosa María,Villalobos,Guzmán,1991-01-13,F,Puertorriqueña,XS,XL,35,79.14,2.00,BBVA,Secundaria,Secundaria,Física,Literatura,True,Razón 2,Profesión 1,Interés 2,53111,Estado de México,La Cruz,Rincón de Romos,Aguascalientes,Herrera,251,53,Mexico,Cosío,/,/,/
28,29,35,QUKK8690W97EWNG8,Ángel,Reyes,Vega,1964-10-19,M,Cubano,L,XS,33,117.69,2.00,Scotiabank,Primaria,Primaria,Química,Teatro,False,Razón 4,Profesión 2,Interés 2,48909,Jalisco,Santa María,El Llano,Asientos,Díaz,417,48,Michoacan,Calvillo,/,/,/
29,30,36,WATT2463Q10UMYV8,Rosa María,Villarreal,Fernández,1965-10-14,O,Haitiana,XL,M,30,56.69,2.00,BBVA,Primaria,Primaria,Química,Ninguna,True,Razón 4,Profesión 2,Interés 1,76484,Querétaro,La Unión,Cosío,Asientos,Jiménez,308,17,Tabasco,Cosío,/,/,/
30,31,37,ZARS1425X53OMXF0,Diana,Castañeda,Carrillo,1980-08-09,F,Paraguaya,L,XS,29,59.24,2.00,Banco Azteca,Primaria,Primaria,Física,Teatro,True,Razón 2,Profesión 2,Interés 3,64991,Nuevo León,La Montaña,Pabellón de Arteaga,Asientos,Martínez,720,63,Baja California Sur,Ensenada,/,/,/
31,32,38,XOZX1250X70EGWD0,Erick,Castillo,Escobar,1970-02-11,M,Chileno,L,XXL,30,70.48,2.00,Banamex,Licenciatura,Licenciatura,Física,Literatura,True,Razón 3,Profesión 5,Interés 4,86092,Tabasco,La Loma,San José de Gracia,San José de Gracia,Reyes,638,19,Yucatan,Jesús María,/,/,/
32,33,39,WISC0868Q28APGL6,Lorena,Torres,Mendoza,1985-12-03,F,Salvadoreño,M,L,31,50.56,2.00,Scotiabank,Primaria,Primaria,Física,Música,True,Razón 4,Profesión 2,Interés 3,77080,Quintana Roo,San José,Jesús María,Rincón de Romos,Rivera,423,42,Coahuila,San José de Gracia,/,/,/
33,34,40,BETM1101Z02AHSB5,Carmen,Juárez,Valencia,1988-04-11,O,Barbadense,L,XS,35,111.19,2.00,HSBC,Secundaria,Secundaria,Otro,Teatro,True,Razón 1,Profesión 1,Interés 4,31814,Chihuahua,La Paz,San José de Gracia,Asientos,Morelos,139,5,Hidalgo,Asientos,/,/,/
34,35,41,YIPP6900W62UXDN7,Erick,Jiménez,García,1966-12-14,M,Mexicana,M,XS,29,104.72,2.00,HSBC,Licenciatura,Licenciatura,Química,Ninguna,True,Razón 5,Profesión 1,Interés 5,73468,Puebla,La Playa,Cosío,Rincón de Romos,Díaz,779,21,Zacatecas,San José de Gracia,/,/,/
35,36,42,SELG5196B73IVPF2,Antonio,Lugo,Cuevas,2002-11-07,M,Boliviana,XL,XS,22,108.53,2.00,Inbursa,Secundaria,Secundaria,Otro,Música,True,Razón 5,Profesión 2,Interés 1,33644,Chihuahua,La Colina,Ensenada,Pabellón de Arteaga,López,475,1,Sinaloa,Rincón de Romos,/,/,/
36,37,43,CEZB4290M70EXFB6,Manuel,Bautista,Bautista,1976-06-05,M,Dominicana,M,L,35,73.51,2.00,Banco Azteca,Preparatoria,Preparatoria,Biología,Literatura,False,Razón 3,Profesión 2,Interés 1,63369,Nayarit,La Cruz,San José de Gracia,Asientos,Guzmán,789,87,Tabasco,Pabellón de Arteaga,/,/,/
37,38,44,SENJ3619J53EMFH5,Arturo,Mata,Morales,1993-01-03,O,Figueroense,XL,L,33,72.24,2.00,Inbursa,Preparatoria,Preparatoria,Ninguna,Artes Plásticas,True,Razón 4,Profesión 4,Interés 3,20176,Aguascalientes,La Cumbre,Jesús María,San José de Gracia,Ortiz,552,65,Querétaro,Pabellón de Arteaga,/,/,/
38,39,45,LUNJ6044J47OSVX4,Alejandro,Valencia,Vega,1987-12-09,M,Sanvicentino,L,S,29,95.58,2.00,HSBC,Preparatoria,Preparatoria,Biología,Artes Plásticas,True,Razón 3,Profesión 1,Interés 1,54657,Estado de México,La Huerta,El Llano,El Llano,Gómez Farías,899,42,Veracruz,Jesús María,/,/,/
39,40,46,XOTY7879Z54ISSR8,Alberto,Navarro,Montes,1968-04-19,F,Granadino,L,XL,26,90.01,2.00,Banamex,Licenciatura,Licenciatura,Otro,Ninguna,False,Razón 4,Profesión 4,Interés 3,23511,Baja California Sur,San Juan,Ensenada,Pabellón de Arteaga,Juárez,982,46,Michoacan,El Llano,/,/,/
40,41,47,WOBK2172X56EKXD2,Sofía,Guzmán,Salazar,1996-05-26,M,Guyanés,L,XS,29,116.65,2.00,Banco del Bajío,Secundaria,Secundaria,Física,Artes Plásticas,False,Razón 4,Profesión 3,Interés 2,37885,Guanajuato,La Fortuna,Pabellón de Arteaga,Rincón de Romos,Silva,457,74,Guanajuato,Cosío,/,/,/
41,42,48,PUQL6212S19UKSD9,Beatriz,Valdés,Valdés,1993-10-02,M,Paraguayo,L,XXL,29,105.69,2.00,HSBC,Primaria,Primaria,Química,Literatura,False,Razón 5,Profesión 1,Interés 3,76434,Querétaro,La Playa,Rincón de Romos,San José de Gracia,Hidalgo,644,58,Puebla,El Llano,/,/,/
42,43,49,ZUSV8957V09ECCX5,Erick,Ramírez,Cisneros,1979-05-02,F,Barbadense,S,M,22,85.56,2.00,Inbursa,Primaria,Primaria,Ninguna,Música,False,Razón 4,Profesión 1,Interés 4,20275,Aguascalientes,La Playa,Calvillo,El Llano,Morales,838,68,Colima,El Llano,/,/,/
43,44,50,LAHL4007J83ULNC7,Patricia,Carrillo,Guzmán,1972-11-26,F,Argentino,XS,XS,22,106.06,2.00,Banco del Bajío,Secundaria,Secundaria,Química,Literatura,True,Razón 3,Profesión 5,Interés 4,82469,Sinaloa,La Palma,Tepezalá,Jesús María,Ortiz,107,24,Coahuila,Asientos,/,/,/
44,45,51,DOLX8890M29OQGN6,Eduardo,Villarreal,Cisneros,1990-01-09,F,Guyanés,M,XXL,31,90.56,2.00,BanCoppel,Primaria,Primaria,Física,Artes Plásticas,False,Razón 3,Profesión 3,Interés 4,86382,Tabasco,La Soledad,Rincón de Romos,Cosío,Mendoza,795,87,Puebla,Asientos,/,/,/
45,46,52,ZIWK9101J64IJTN9,Rosa,Cisneros,Villalobos,1985-08-08,F,Cubano,S,L,28,60.00,2.00,Banamex,Preparatoria,Preparatoria,Otro,Teatro,False,Razón 3,Profesión 3,Interés 4,77207,Quintana Roo,La Paz,Ensenada,Calvillo,Juárez,598,39,Mexico,Ensenada,/,/,/
46,47,53,YELW9240D58ASWY6,Norma,Vargas,Pacheco,1996-01-05,M,Boliviana,S,XL,30,70.81,2.00,Santander,Preparatoria,Preparatoria,Física,Ninguna,False,Razón 1,Profesión 5,Interés 3,77033,Quintana Roo,San Miguel,San José de Gracia,Tepezalá,Álvarez,340,37,Coahuila,Aguascalientes,/,/,/
47,48,54,NUVD2640H57UPXJ5,Maribel,Mata,Silva,1976-02-27,F,Beliceño,L,XS,32,54.47,2.00,HSBC,Licenciatura,Licenciatura,Ninguna,Teatro,False,Razón 1,Profesión 2,Interés 5,56262,Estado de México,La Palma,Aguascalientes,Asientos,Revolución,278,28,Baja California Sur,Ensenada,/,/,/
48,49,55,LEKK7896F40UZDW7,Cecilia,Medina,Castillo,1973-04-16,M,Antiguano,M,XS,35,44.47,2.00,Scotiabank,Secundaria,Secundaria,Física,Teatro,False,Razón 1,Profesión 3,Interés 4,64195,Nuevo León,La Gloria,El Llano,Tepezalá,Carranza,866,66,Nuevo León,Cosío,/,/,/
49,50,56,GATD2321K78UXNR1,Guadalupe,Valdés,Sosa,1973-07-13,O,Peruano,XS,L,29,107.94,2.00,BBVA,Primaria,Primaria,Otro,Artes Plásticas,False,Razón 3,Profesión 1,Interés 1,58607,Michoacán,La Cumbre,Pabellón de Arteaga,San José de Gracia,Gómez Farías,573,46,Yucatan,Pabellón de Arteaga,/,/,/
50,51,57,VUJK3849K87OVGR4,Eduardo,Bautista,Vázquez,1968-02-28,O,Beliceño,XXL,S,27,92.79,2.00,Banorte,Preparatoria,Preparatoria,Biología,Música,True,Razón 5,Profesión 1,Interés 1,34235,Durango,La Sierra,Pabellón de Arteaga,Pabellón de Arteaga,Benito Juárez,16,25,Hidalgo,San José de Gracia,/,/,/
51,52,58,NADK5964S68ARDT3,Rosa,Lugo,Villanueva,1998-06-19,M,Barbudense,S,XXL,22,112.48,2.00,BanCoppel,Preparatoria,Preparatoria,Biología,Ninguna,False,Razón 5,Profesión 1,Interés 5,62743,Morelos,La Joya,Calvillo,Jesús María,Vázquez,234,100,Guanajuato,Calvillo,/,/,/
52,53,59,PABW7165N24EWBD3,Carmen,Escobar,Villanueva,1987-03-16,F,Hondureña,L,L,25,60.19,2.00,Scotiabank,Licenciatura,Licenciatura,Física,Literatura,True,Razón 1,Profesión 3,Interés 4,62851,Morelos,La Colina,San José de Gracia,San José de Gracia,Benito Juárez,736,31,CDMX,Jesús María,/,/,/
53,54,60,HAHF7844Z42EZLG1,Lilia,Salazar,Díaz,1966-03-21,M,Brasileño,XL,XXL,31,87.46,2.00,BanCoppel,Preparatoria,Preparatoria,Otro,Música,False,Razón 3,Profesión 3,Interés 2,42304,Hidalgo,La Estrella,Pabellón de Arteaga,Tepezalá,Hernández,596,84,Durango,Tepezalá,/,/,/
54,55,61,PEDR8651H97OXRK4,Sofía,Vega,Rivera,1990-12-17,F,Guyanés,M,XXL,22,95.89,2.00,Banamex,Primaria,Primaria,Química,Ninguna,False,Razón 4,Profesión 5,Interés 1,97731,Yucatán,La Rinconada,San José de Gracia,Jesús María,Benito Juárez,702,17,Sonora,Aguascalientes,/,/,/
55,56,62,ZUGH3118J69ABNN5,Alberto,Álvarez,Cruz,1999-06-21,F,Trinitense,M,L,27,95.70,2.00,Santander,Primaria,Primaria,Otro,Ninguna,True,Razón 2,Profesión 3,Interés 2,92341,Veracruz,La Estrella,Calvillo,Cosío,Medina,144,13,Chiapas,Rincón de Romos,/,/,/
56,57,63,ZORS4610P65EQQM5,José,Montes,Castañeda,1961-01-20,F,Antiguano,XS,XXL,34,65.82,2.00,BanCoppel,Preparatoria,Preparatoria,Biología,Ninguna,True,Razón 4,Profesión 4,Interés 4,98530,Zacatecas,La Soledad,Jesús María,Jesús María,Zaragoza,43,16,Nayarit,Pabellón de Arteaga,/,/,/
57,58,64,RIKM4429T82EDQZ7,Rubén,Lugo,Valdés,1983-05-22,F,Colombiano,XXL,XXL,28,42.01,2.00,BanCoppel,Primaria,Primaria,Otro,Música,True,Razón 4,Profesión 3,Interés 1,63011,Nayarit,La Fe,Jesús María,Jesús María,Jiménez,63,100,Michoacan,Rincón de Romos,/,/,/
58,59,65,NEJZ1508B12URPK6,Dora,Mendoza,Guzmán,1969-05-11,M,Barbadense,L,XS,33,109.40,2.00,HSBC,Primaria,Primaria,Otro,Ninguna,True,Razón 4,Profesión 5,Interés 4,77480,Quintana Roo,La Montaña,Jesús María,Aguascalientes,Díaz,928,59,Guerrero,El Llano,/,/,/
59,60,66,YOMR0921N51EYKK6,Adriana,Morales,Silva,1967-04-02,M,Sanmartinense,L,XL,25,51.36,2.00,Scotiabank,Primaria,Primaria,Química,Teatro,True,Razón 2,Profesión 5,Interés 3,88821,Tamaulipas,La Cascada,Asientos,Asientos,Herrera,193,18,Veracruz,Pabellón de Arteaga,/,/,/
60,61,67,DUGB5018L27EXJX0,Oscar,Castañeda,Mata,1968-12-15,M,Boliviano,M,XL,23,97.37,2.00,BBVA,Preparatoria,Preparatoria,Química,Música,False,Razón 4,Profesión 5,Interés 1,12114,Ciudad de México,La Cañada,Jesús María,San José de Gracia,Carrillo,960,32,Colima,Pabellón de Arteaga,/,/,/
61,62,68,NUDJ7590R14IMHK9,Irma,Lara,Ruiz,1993-05-07,O,Brasileña,S,S,23,91.47,2.00,BBVA,Licenciatura,Licenciatura,Química,Música,True,Razón 4,Profesión 2,Interés 2,89033,Tamaulipas,La Paz,Jesús María,El Llano,León,617,31,Durango,Asientos,/,/,/
62,63,69,NENT1214C17UBWJ3,Norma,Cárdenas,Cisneros,1981-05-07,O,Nevisiano,XS,S,26,95.40,2.00,Banorte,Preparatoria,Preparatoria,Física,Artes Plásticas,False,Razón 2,Profesión 1,Interés 4,74529,Puebla,La Unión,Pabellón de Arteaga,El Llano,Gómez Farías,134,68,Michoacan,Asientos,/,/,/
63,64,70,MICS6478B44IBMH1,Juan,Villarreal,Aguilar,1999-08-26,M,Alemana,XS,S,22,52.54,2.00,Banco Azteca,Primaria,Primaria,Química,Música,True,Razón 3,Profesión 3,Interés 3,84958,Sonora,La Fortuna,Rincón de Romos,Asientos,Medina,884,94,Yucatan,Rincón de Romos,/,/,/
64,65,71,TUBW6774Z43URWB3,Jorge,Torres,Álvarez,1976-12-27,F,Puertorriqueña,XS,M,35,47.33,2.00,Banco del Bajío,Preparatoria,Preparatoria,Química,Ninguna,True,Razón 3,Profesión 4,Interés 3,47364,Jalisco,La Montaña,Cosío,Asientos,Juárez,981,86,Chiapas,Jesús María,/,/,/
65,66,72,RICC7128X78ITMW9,Alberto,Ramírez,Guzmán,1972-02-27,O,Boliviano,L,S,32,66.45,2.00,Banamex,Preparatoria,Preparatoria,Química,Música,False,Razón 5,Profesión 4,Interés 2,89875,Tamaulipas,La Huerta,Pabellón de Arteaga,Calvillo,Juárez,876,53,Chiapas,El Llano,/,/,/
66,67,73,DOFV7699S95UQCQ8,Rosa,González,Bautista,1965-07-02,M,Dominicana,XL,M,22,116.45,2.00,Santander,Secundaria,Secundaria,Otro,Literatura,False,Razón 5,Profesión 1,Interés 2,44594,Jalisco,La Marina,Jesús María,Rincón de Romos,Martínez,848,56,Baja California Sur,Pabellón de Arteaga,/,/,/
67,68,74,QELT9142T04OPBB2,Patricia,Villarreal,Campos,1978-10-03,O,Mexicana,S,S,24,74.10,2.00,Santander,Primaria,Primaria,Ninguna,Ninguna,True,Razón 3,Profesión 3,Interés 5,23832,Baja California Sur,La Unión,Jesús María,Aguascalientes,Aguilar,68,51,Querétaro,Aguascalientes,/,/,/
68,69,75,TAJH4923G75ACSG5,Adriana,Mata,Castillo,1978-05-18,M,Beliceño,XXL,L,23,72.43,2.00,Banco del Bajío,Preparatoria,Preparatoria,Física,Teatro,False,Razón 1,Profesión 5,Interés 3,90067,Tlaxcala,La Esperanza,Ensenada,Cosío,Aguilar,508,82,Quintana Roo,Ensenada,/,/,/
69,70,76,ZOZY6712M48OJZW6,Silvia,Salazar,Castillo,1984-03-07,M,Jamaicano,XS,XL,23,67.27,2.00,Scotiabank,Preparatoria,Preparatoria,Biología,Música,False,Razón 3,Profesión 4,Interés 5,61826,Michoacán,La Perla,Asientos,Aguascalientes,Morelos,486,79,Colima,Ensenada,/,/,/
70,71,77,HIFD0796G68ACYG1,Guadalupe,Rosas,Fernández,1968-03-24,O,Colombiana,M,M,34,69.85,2.00,Banorte,Primaria,Primaria,Otro,Ninguna,True,Razón 1,Profesión 5,Interés 2,97160,Yucatán,La Cruz,Cosío,Calvillo,Jiménez,603,28,Guanajuato,Pabellón de Arteaga,/,/,/
71,72,78,BOMM7297J51AWBJ6,Héctor,Villarreal,Esparza,1969-09-09,O,Brasileño,L,XS,35,90.61,2.00,Banamex,Preparatoria,Preparatoria,Química,Ninguna,True,Razón 2,Profesión 4,Interés 2,93561,Veracruz,La Palma,San José de Gracia,Rincón de Romos,Díaz,431,17,Aguascalientes,San José de Gracia,/,/,/
72,73,79,JEKG5738Q23EYSG9,Cecilia,Cortés,Ramírez,1973-05-19,O,Guatemalteco,L,XS,24,72.62,2.00,Inbursa,Preparatoria,Preparatoria,Física,Ninguna,False,Razón 2,Profesión 2,Interés 2,62279,Morelos,La Isla,Rincón de Romos,Jesús María,Hidalgo,479,89,Tlaxcala,Rincón de Romos,/,/,/
73,74,80,YEWN4185Q98UPLY4,Ricardo,Cabrera,Vega,1964-06-03,O,Barbadense,L,XXL,33,102.26,2.00,Banorte,Preparatoria,Preparatoria,Física,Música,False,Razón 2,Profesión 1,Interés 2,31913,Chihuahua,La Joya,Jesús María,Pabellón de Arteaga,Díaz,406,62,Yucatan,Tepezalá,/,/,/
74,75,81,DAKX5799G70IJRH0,Raúl,Cabrera,Valenzuela,1962-07-18,F,Alemana,L,XL,34,40.97,2.00,BBVA,Licenciatura,Licenciatura,Otro,Ninguna,False,Razón 4,Profesión 1,Interés 5,20257,Aguascalientes,Santa María,Aguascalientes,San José de Gracia,Silva,360,63,Mexico,Tepezalá,/,/,/
75,76,82,DEBY7695T15IJBN0,Luis,Castillo,Castillo,1978-07-07,O,Brasileño,L,XXL,27,96.12,2.00,Banco Azteca,Preparatoria,Preparatoria,Ninguna,Música,False,Razón 1,Profesión 2,Interés 4,24418,Campeche,La Fortuna,San José de Gracia,Pabellón de Arteaga,Torres,8,78,Durango,Jesús María,/,/,/
76,77,83,DIJD4541N11ILGP0,Humberto,Rojas,Flores,1971-05-06,M,Francesa,M,S,28,81.79,2.00,HSBC,Licenciatura,Licenciatura,Otro,Literatura,True,Razón 4,Profesión 3,Interés 2,98978,Zacatecas,San Miguel,Ensenada,El Llano,Guzmán,732,29,Campeche,Jesús María,/,/,/
77,78,84,YAVN3335H23ESXB9,Arturo,Valenzuela,Cervantes,1989-11-11,M,Chilena,M,XS,27,82.92,2.00,Banamex,Secundaria,Secundaria,Química,Teatro,False,Razón 2,Profesión 4,Interés 3,55453,Estado de México,San José,Asientos,Tepezalá,García,703,34,Zacatecas,Tepezalá,/,/,/
